job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric
b033989e,wordcraft_data,transe,0,train,KvsAll,train,1,39.78755699854878,0.0,39.78755699854878,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,2,14.757633120584337,0.0,14.757633120584337,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,3,9.743545322606636,0.0,9.743545322606636,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,4,7.255751207477585,0.0,7.255751207477585,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,5,5.476742560680425,0.0,5.476742560680425,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,6,4.668665284097703,0.0,4.668665284097703,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,7,3.9406009235347823,0.0,3.9406009235347823,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,8,3.476461977288495,0.0,3.476461977288495,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,9,3.4345092833925377,0.0,3.4345092833925377,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,10,2.750529530661814,0.0,2.750529530661814,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,11,2.7681695973332494,0.0,2.7681695973332494,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,12,2.566534546789804,0.0,2.566534546789804,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,13,2.4454963033007675,0.0,2.4454963033007675,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,14,2.2921301497972006,0.0,2.2921301497972006,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,15,2.056395383522443,0.0,2.056395383522443,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,16,2.1202908820457185,0.0,2.1202908820457185,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,17,1.9799916074850874,0.0,1.9799916074850874,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,18,1.812918071555192,0.0,1.812918071555192,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,19,1.793899055361266,0.0,1.793899055361266,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,20,1.692652842925705,0.0,1.692652842925705,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,21,1.7389862926272892,0.0,1.7389862926272892,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,22,1.7467600332282829,0.0,1.7467600332282829,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,23,1.5985595781973354,0.0,1.5985595781973354,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,24,1.6007816454568784,0.0,1.6007816454568784,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,25,1.5464323063200773,0.0,1.5464323063200773,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,26,1.5658625162231263,0.0,1.5658625162231263,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,27,1.4657793634399257,0.0,1.4657793634399257,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,28,1.4776178693150426,0.0,1.4776178693150426,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,29,1.422349521061418,0.0,1.422349521061418,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,30,1.355580641327281,0.0,1.355580641327281,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,31,1.3834436778857346,0.0,1.3834436778857346,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,32,1.3351751872922575,0.0,1.3351751872922575,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,33,1.313161655209982,0.0,1.313161655209982,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,34,1.330081130176796,0.0,1.330081130176796,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,35,1.2784730937644726,0.0,1.2784730937644726,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,36,1.2461889345160395,0.0,1.2461889345160395,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,37,1.2275703070968804,0.0,1.2275703070968804,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,38,1.219629770645819,0.0,1.219629770645819,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,39,1.202717651954723,0.0,1.202717651954723,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,40,1.1889552258299667,0.0,1.1889552258299667,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,41,1.158239793325145,0.0,1.158239793325145,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,42,1.1500546691607187,0.0,1.1500546691607187,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,43,1.1373932014734263,0.0,1.1373932014734263,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,44,1.1234652241972138,0.0,1.1234652241972138,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,45,1.1115090456788295,0.0,1.1115090456788295,mean_reciprocal_rank_filtered_with_test,
b033989e,wordcraft_data,transe,0,train,KvsAll,train,46,1.1043752438694465,0.0,1.1043752438694465,mean_reciprocal_rank_filtered_with_test,
